UTC Timestamp,Game Type,Map,Team,Match Outcome,Skill,Score,Shots,Hits,Assists,Longest Streak,Kills,Deaths,Headshots,Damage Done,Damage Taken,Percentage Of Time Moving,Lifetime Games Played,Lifetime Wins,Lifetime Losses,Game Mode,K/D,E/D
2025-01-07 22:46:08,Hardpoint,Skyline,allies,win,215,5705,747,189,8,5,33,22,9,3713,2984,94.52%,145,83,61,Ranked,1.5,1.86
2025-01-07 17:53:07,Hardpoint,Hacienda,axis,win,234,4860,456,118,5,5,27,27,3,2693,3326,98.97%,143,82,60,Ranked,1.0,1.19
2025-01-07 18:10:44,Hardpoint,Skyline,allies,loss,233,2500,368,89,8,2,13,32,2,2030,3510,98.55%,144,82,61,Ranked,0.41,0.66
2025-01-07 17:39:42,Control,Vault,axis,win,222,3550,452,103,8,4,23,18,0,2785,2290,98.12%,142,81,60,Ranked,1.28,1.72
2025-01-07 17:23:31,Hardpoint,Protocol,allies,win,222,5410,491,146,11,6,26,27,2,3143,3452,98.10%,141,80,60,Ranked,0.96,1.37
2025-01-07 17:07:30,Hardpoint,Vault,allies,win,210,5830,662,178,8,3,34,30,9,4071,3659,98.44%,140,79,60,Ranked,1.13,1.4
2025-01-07 12:33:53,Hardpoint,Vault,axis,loss,229,4765,569,128,8,2,24,34,3,3127,3874,94.63%,139,78,60,Ranked,0.71,0.94
2025-01-07 12:06:24,Hardpoint,Skyline,allies,win,214,6560,640,159,6,5,39,28,4,3718,3726,96.13%,138,78,59,Ranked,1.39,1.61
2025-01-07 11:52:16,Hardpoint,Vault,allies,win,204,5395,617,154,9,7,36,24,3,3663,3068,97.27%,137,77,59,Ranked,1.5,1.88
2025-01-07 11:26:42,Search and Destroy,Skyline,axis,loss,224,325,80,14,0,1,3,7,0,325,701,46.51%,136,76,59,Ranked,0.43,0.43
2025-01-07 11:11:23,Search and Destroy,Skyline,axis,loss,237,750,167,30,2,2,5,7,1,798,1010,81.33%,135,76,58,Ranked,0.71,1.0
2025-01-07 10:55:38,Hardpoint,Vault,axis,win,231,5540,398,118,9,3,26,24,3,3102,3225,91.82%,134,76,57,Ranked,1.08,1.46
2025-01-05 21:06:31,Search and Destroy,Protocol,allies,win,225,1325,193,47,3,3,9,7,2,1393,1079,65.63%,133,75,57,Ranked,1.29,1.71
2025-01-05 01:03:28,Hardpoint,Protocol,allies,win,218,4755,537,176,2,7,33,17,6,3701,2501,97.61%,132,74,57,Ranked,1.94,2.06
2025-01-05 00:42:18,Control,Vault,allies,win,204,5115,689,195,10,5,37,21,9,4284,2954,97.32%,131,73,57,Ranked,1.76,2.24
2025-01-05 00:20:29,Control,Vault,allies,win,207,4695,657,197,12,4,30,29,4,4198,3695,90.74%,130,72,57,Ranked,1.03,1.45
2025-01-04 23:24:13,Control,Vault,allies,win,210,2600,359,72,5,7,19,13,2,2193,1891,96.06%,127,71,55,Ranked,1.46,1.85
2025-01-05 00:04:46,Hardpoint,Hacienda,allies,loss,211,5985,573,187,13,4,27,30,3,3976,3596,99.02%,129,71,57,Ranked,0.9,1.33
2025-01-04 23:49:38,Hardpoint,Skyline,allies,loss,221,4070,694,178,14,4,24,30,6,3807,3760,98.93%,128,71,56,Ranked,0.8,1.27
2025-01-04 22:59:05,Hardpoint,Skyline,axis,loss,226,3790,549,155,11,3,21,31,3,3267,3648,99.65%,126,70,55,Ranked,0.68,1.03
2025-01-04 20:45:45,Search and Destroy,Protocol,allies,loss,240,565,144,25,1,2,4,8,0,739,1007,60.70%,125,70,54,Ranked,0.5,0.62
2025-01-04 20:28:17,Hardpoint,Hacienda,axis,win,234,5685,675,189,10,4,32,27,2,3859,3376,99.07%,124,70,53,Ranked,1.19,1.56
2025-01-04 20:16:01,Search and Destroy,Protocol,axis,win,241,350,41,7,0,2,3,5,0,275,588,36.23%,123,69,53,Ranked,0.6,0.6
2025-01-03 12:21:46,Hardpoint,Skyline,allies,win,246,5475,617,176,10,4,30,32,2,3512,3840,96.80%,122,68,53,Ranked,0.94,1.25
2025-01-02 19:01:53,Search and Destroy,Hacienda,allies,win,249,1040,172,36,4,3,7,7,1,942,862,69.74%,121,67,53,Ranked,1.0,1.57
2025-01-02 18:45:06,Search and Destroy,Skyline,axis,win,250,740,165,26,3,3,5,5,2,866,686,67.07%,120,66,53,Ranked,1.0,1.6
2025-01-02 18:20:59,Hardpoint,Protocol,axis,loss,237,2955,424,120,5,3,20,25,1,2611,2728,98.88%,118,64,53,Ranked,0.8,1.0
2025-01-02 18:05:13,Hardpoint,Vault,allies,loss,241,5215,730,197,10,4,32,32,5,4125,3714,97.16%,117,64,52,Ranked,1.0,1.31
2025-01-02 17:50:47,Hardpoint,Skyline,allies,win,257,4650,626,191,12,6,27,36,3,3983,4106,99.00%,116,64,51,Ranked,0.75,1.08
2025-01-02 17:29:44,Control,Protocol,allies,win,263,4410,688,206,6,7,33,34,7,4252,3952,94.75%,115,63,51,Ranked,0.97,1.15
2025-01-02 17:06:32,Hardpoint,Protocol,allies,win,252,5525,481,140,9,5,28,23,5,3197,2892,94.25%,114,62,51,Ranked,1.22,1.61
2025-01-02 16:40:02,Hardpoint,Skyline,allies,win,255,5275,666,182,12,3,32,31,4,3840,3857,96.21%,113,61,51,Ranked,1.03,1.42
2024-12-30 16:20:21,Hardpoint,Vault,allies,loss,262,6380,682,209,8,9,40,28,5,4605,3447,95.09%,111,60,50,Ranked,1.43,1.71
2024-12-30 16:05:22,Hardpoint,Skyline,allies,loss,253,5710,760,221,10,7,37,33,4,4532,3913,98.75%,110,60,49,Ranked,1.12,1.42
2024-12-30 15:43:35,Search and Destroy,Protocol,axis,win,253,1265,198,47,3,2,9,9,0,1186,1224,66.67%,109,60,48,Ranked,1.0,1.33
2025-01-02 16:27:32,Control,Vault,axis,loss,275,1475,304,65,5,2,8,24,0,1336,2808,97.48%,112,60,51,Ranked,0.33,0.54
2024-12-30 15:29:44,Hardpoint,Protocol,axis,loss,253,0,0,0,0,0,0,0,0,0,0,0.00%,108,59,48,Ranked,0.0,0.0
2024-12-30 14:54:16,Control,Protocol,axis,win,266,2115,320,86,5,3,13,20,2,1766,2394,94.99%,108,59,48,Ranked,0.65,0.9
2024-12-30 14:22:14,Hardpoint,Protocol,axis,win,269,4755,514,134,7,4,27,29,3,2989,3840,96.68%,107,58,48,Ranked,0.93,1.17
2024-12-29 22:10:04,Control,Vault,allies,win,280,3145,515,147,3,6,25,29,1,3100,3798,96.53%,106,57,48,Ranked,0.86,0.97
2024-12-29 21:49:34,Hardpoint,Vault,allies,win,266,5580,777,224,11,5,37,27,7,4579,3240,97.87%,105,56,48,Ranked,1.37,1.78
2024-12-29 21:40:09,Control,Protocol,axis,win,273,875,75,22,3,1,4,6,2,536,815,86.78%,104,55,48,Ranked,0.67,1.17
2024-12-29 21:27:56,Control,Protocol,allies,loss,281,2000,292,96,1,5,17,18,0,2178,2262,98.06%,103,54,48,Ranked,0.94,1.0
2024-12-29 20:31:36,Search and Destroy,Skyline,allies,win,273,1200,219,39,2,4,9,3,0,1104,498,78.01%,102,54,47,Ranked,3.0,3.67
2024-12-29 19:45:49,Hardpoint,Red Card,axis,win,268,5635,548,164,12,4,33,27,4,3289,3126,98.68%,99,53,45,Ranked,1.22,1.67
2024-12-29 20:16:29,Hardpoint,Skyline,allies,loss,290,4585,620,180,4,4,31,37,3,4027,4120,97.79%,101,53,47,Ranked,0.84,0.95
2024-12-29 20:00:10,Hardpoint,Vault,allies,loss,277,6390,753,209,10,4,36,29,9,4806,3697,92.23%,100,53,46,Ranked,1.24,1.59
2024-12-29 19:30:47,Hardpoint,Skyline,axis,win,254,4820,567,178,11,5,31,24,6,3811,2943,96.23%,98,52,45,Ranked,1.29,1.75
2024-12-29 19:18:46,Hardpoint,Vault,axis,win,256,3705,398,99,9,3,17,17,2,2128,2197,97.64%,97,51,45,Ranked,1.0,1.53
2024-12-29 19:03:46,Hardpoint,Vault,axis,win,252,5535,634,173,5,4,33,27,3,3717,3309,93.89%,96,50,45,Ranked,1.22,1.41
2024-12-29 18:47:10,Hardpoint,Hacienda,allies,win,237,6820,681,194,11,7,39,32,6,4231,3878,98.00%,95,49,45,Ranked,1.22,1.56
2024-12-29 18:32:16,Hardpoint,Hacienda,allies,loss,256,3605,436,110,9,2,18,34,2,2516,4014,98.25%,94,48,45,Ranked,0.53,0.79
2024-12-29 18:19:14,Hardpoint,Skyline,axis,loss,254,5300,656,173,15,4,29,27,7,3931,3175,97.65%,93,48,44,Ranked,1.07,1.63
2024-12-29 18:04:14,Control,Vault,allies,loss,264,2355,415,117,3,3,17,23,0,2516,2622,88.44%,92,48,43,Ranked,0.74,0.87
2024-12-29 17:33:18,Search and Destroy,Hacienda,axis,win,251,1490,181,45,3,4,10,7,2,1163,1067,65.37%,91,48,42,Ranked,1.43,1.86
2024-12-28 18:28:45,Hardpoint,Skyline,axis,win,238,5555,642,181,11,6,33,30,4,3739,3458,99.35%,85,47,37,Ranked,1.1,1.47
2024-12-28 22:04:09,Hardpoint,Hacienda,axis,loss,250,2980,377,95,5,4,15,18,1,1929,2235,97.22%,86,47,38,Ranked,0.83,1.11
2024-12-28 22:16:24,Hardpoint,Vault,axis,loss,245,3775,519,149,12,4,21,27,3,3142,2905,99.04%,87,47,39,Ranked,0.78,1.22
2024-12-28 22:31:02,Hardpoint,Hacienda,axis,loss,233,4870,537,174,12,4,25,25,0,3639,3426,97.95%,88,47,40,Ranked,1.0,1.48
2024-12-29 12:02:36,Search and Destroy,Hacienda,allies,loss,241,1250,239,49,2,3,10,7,2,1510,919,93.75%,89,47,41,Ranked,1.43,1.71
2024-12-29 12:24:47,Hardpoint,Vault,allies,loss,254,4320,552,125,10,4,24,25,5,2540,3026,95.39%,90,47,42,Ranked,0.96,1.36
2024-12-28 18:03:31,Hardpoint,Skyline,allies,win,241,4340,529,158,8,5,23,25,6,3264,2680,96.49%,84,46,37,Ranked,0.92,1.24
2024-12-28 17:48:26,Hardpoint,Protocol,axis,loss,244,4915,536,164,8,4,31,33,4,3384,3736,99.40%,83,45,37,Ranked,0.94,1.18
2024-12-28 17:27:12,Hardpoint,Skyline,axis,win,252,4605,527,164,10,5,27,30,3,3481,3392,98.71%,82,45,36,Ranked,0.9,1.23
2024-12-27 11:58:22,Hardpoint,Red Card,axis,loss,268,4735,603,136,11,3,25,34,3,2877,4112,99.72%,81,44,36,Ranked,0.74,1.06
2024-12-26 21:03:21,Hardpoint,Hacienda,axis,win,262,5740,558,168,7,6,31,26,8,3429,3241,95.91%,80,44,35,Ranked,1.19,1.46
2024-12-26 20:51:05,Hardpoint,Protocol,axis,win,248,5045,490,163,8,4,29,19,1,3611,2352,98.44%,79,43,35,Ranked,1.53,1.95
2024-12-26 20:35:39,Hardpoint,Skyline,axis,loss,260,2640,417,104,3,3,14,22,2,2274,2702,98.13%,78,42,35,Ranked,0.64,0.77
2024-12-26 20:25:14,Control,Vault,axis,win,265,1000,153,40,2,2,7,10,0,987,1164,93.56%,77,42,34,Ranked,0.7,0.9
2024-12-26 20:14:20,Search and Destroy,Skyline,axis,win,266,550,146,38,1,3,3,3,1,716,450,92.59%,76,41,34,Ranked,1.0,1.33
2024-12-26 19:52:07,Control,Vault,allies,loss,254,4865,688,158,8,3,33,28,6,3941,3850,95.74%,75,40,34,Ranked,1.18,1.46
2024-12-26 18:25:06,Control,Protocol,axis,win,252,3385,485,121,4,2,25,25,6,2873,3267,98.91%,74,40,33,Ranked,1.0,1.16
2024-12-26 18:10:07,Hardpoint,Protocol,axis,win,266,4215,522,120,8,5,24,32,5,2514,3729,98.95%,73,39,33,Ranked,0.75,1.0
2024-12-26 17:54:31,Hardpoint,Skyline,axis,loss,267,5445,634,183,11,7,33,30,4,3930,3885,98.51%,72,38,33,Ranked,1.1,1.47
2024-12-07 14:11:39,Search and Destroy,Vault,allies,loss,276,925,136,41,1,2,7,8,0,909,878,70.59%,71,38,32,Ranked,0.88,1.0
2024-12-07 14:00:03,Hardpoint,Skyline,axis,loss,287,3025,403,121,5,3,20,24,1,2515,2712,95.59%,70,38,31,Ranked,0.83,1.04
2024-12-07 13:47:08,Hardpoint,Hacienda,allies,loss,300,4175,436,134,7,3,23,28,4,2934,3280,97.77%,69,38,30,Ranked,0.82,1.07
2024-12-06 22:23:52,Search and Destroy,Vault,allies,win,309,1080,145,24,3,2,5,7,0,747,894,80.85%,68,38,29,Ranked,0.71,1.14
2024-12-06 22:09:54,Hardpoint,Protocol,allies,loss,325,5150,591,178,13,3,29,34,3,3796,3788,97.48%,67,37,29,Ranked,0.85,1.24
